ARIN Emulator;ARINEmulator
GWT Linkage;gwt-linkage

Generalized UI Framework;generalized-ui-framework

Generic Tree;GenericTree

Geographical View;geographical-view

Geographical View for Microwave;geographical-view-for-microwave

Geographical View for OSP;geographical-view-for-osp

Geographical View for Path Management;geographical-view-for-path-management

Geographical View for Resource Inventory;geographical-view-for-ri

Graph View;graph-view

Graphical Circuit Hierarchy View;graphical-circuit-hierarchy-view

Graphics Styling;graphics-styling

Guiding Management;Guiding_Mgmt

HA Application Manager;ha-application-manager

HA Environment Configuration Tools;ha-environment-configuration-tools

HA Proxy Queue;ha-proxy-queue

HA Runtime;ha-runtime

HDS. OPF Config;hds-opf-config

HFC;hfc

HFC Network View;hfc-network-view

HOM OTM REST Client;hom-otm-rest-client

HOM Operational UI;hom-operational-ui

HOM TFA REST Client;hom-tfa-rest-client

HOM Umbrella UI;hom-umbrella-ui

HOM Umbrella UI Web Service;hom-umbrella-ui-web-service

HTML Graph View;html-graph-view

Highly Available Message Broker;ha-message-broker

History Data Storage;HDS

History Database Layer;history-database-layer

History Framework;history-framework

History Tracking Services;history-tracking-services

History Viewer;history-viewer

Huawei M2000 3G Integration;Huawei_M2000_3G_Int

Huawei M2000 Core Integration;Huawei_M2000_Core_Int

Huawei M2000 Integration;Huawei_M2000_Int

Huawei T2000 Integration;Huawei_T2000

Hybrid Configuration Management;hybrid-configuration-management

ICOMS Entity and Service Adapter;icoms-entity-and-service-adapter

ICOMS Entity and Service Adapter. BOE Extension;icoms-esa-boe-extension

ICOMS Entity and Service Adapter. CIHM Extension;icoms-esa-cihm-extension

ICOMS Integration Layer;icoms-integration-layer

ICOMS Integration Layer. BOE Extension;icoms-il-boe-extension

ICOMS Integration Layer. CIHM Extension;icoms-il-cihm-extension

ICOMS Integration Services(BSO);icoms-integration-services-bso

ICOMS Integration. BOE Business Logic Extension;icoms-boe-bl-extension

ICOMS Integration. BOE Model Extension;icoms-boe-model-extension

ICOMS Integration. CIHM Business Logic Extension;icoms-cihm-bl-extension

ICOMS Integration. CIHM Model Extension;icoms-cihm-model-extension

ICOMS Integration. PIM Model Extension;icoms-pim-model-extension

ICOMS Integration. ROE Business Logic Extension;icoms-roe-bl-extension

IP Address Management;ip-address-management

IP Inventory;ip-inventory

IP Planner;IPPlanner

IP Planner. Extended Ranges Model;ip-planner-extended-ranges-model

IP Planner. RIPE Integration;ip-planner-ripe-integration

IP/MPLS/Metro Ethernet;IP_MPLS_Metro_Ethernet

IP/MPLS/Metro Ethernet Circuit Designer;ip-mpls-me-circuit-designer

IP/MPLS/Metro Ethernet Configuration;IP_MPLS_Eth_Conf

IPPlannerARINInt;IPPlannerARINInt

IT Infrastructure;ITInfrastructure

IT Infrastructure Extension;ITInfrastructureExt

Ico Converter;ICO_Converter

Identity Management;identity-management

Identity Provider;identity-provider

Infrastructure Logging Service;infrastructure-logging-service

Integration Logging Center;integration-logging-center

Integration Management Console;integration-management-console

Integration SI and OM;IntegrationSIandOM

Integration Testing Framework;integration-testing-framework

Interactive Network View;interactive-network-view

Inventory;Inventory

Inventory Default Lifecycle;InventoryDefaultLifecycle

Invoice Management and Distribution;Invoice_Mgmt_Distr

JUnitNCBridge;JUnitNCBridge

Jenkins PaaS Base;jenkins-paas-base

Jeopardy Management;JeopardyMgmt

Job Deploy Logging;job-deploy-logging

Jobs / Scheduler;QuartzScheduler

Jobs / Scheduler. Bulk Executor;jobs-scheduler-bulk-executor

K5 Upgrade Scripts;k5-upgrade-scripts

Kernel;Kernel

Kernel Generalization Framework;KernelGeneralizationFramework

Kernel utils;kerneUltils

L2TP;l2tp

LDAP;ldap-c

Leads Tracking System;LTS

License Management;license-management

License Manager 3;LicenseManager3

Licensing Client;licensing-client

Licensing Core;licensing-core

Life cycle manager;LifeCycleManager

Localization Services;localization-services

Localization Tool;localization-tool

Localization Tool(old);localization-tool-old

Locking & Versioning Component;LVC

Logging Curator;logging-curator

Logging Elasticsearch;logging-elasticsearch

Logging Fluentd;logging-fluentd

Logging Graylog;logging-graylog

Logging Kibana;logging-kibana

Login Service;login-service

Loyalty Management;loyalty-management

Loyalty Management. Product Lifecycle Management extension;loyalty-management-plm-extension

Loyalty Management. RBM Integration;loyalty-management-rbm-integration

Loyalty Management. ROE extension;loyalty-management-roe-extension

Loyalty Management. Sales Order extension;loyalty-management-sales-order-extension

MANO HA Agent;mano-ha-agent

MANO License Management REST Client;mano-license-management-rest-client

MANO Monitoring Processing Node REST Client;mano-monitoring-processing-node-rest-client

MANO Network Service Orchestration REST Client;mano-network-service-orchestration-rest-client

MANO Resource Orchestration REST Client;mano-resource-orchestration-rest-client

ME/MPLS Network View;me-mpls-ntwk-view

MPLS-TP Network View;mpls-tp-ntwk-view

MTE. Data Traceability;mte-data-traceability

MTE. Device Library Mapping;mte-device-library-mapping

MTOSI Integration;MTOSI

MUI;mui

MW Configuration;MW_Configuration

Mail Sender;MailSender

Maintenance Scripts;MaintenanceScripts

Market Segmentation;market-segmentation

Master T-SDN Controller;master-tsdn-controller

Maven Commons;MavenCommons

Mediation Commons;MediationCommon

Mediation Connection Manager;mediation-connection-manager

Mediation DataFlow;Mediation_DataFlow

Mediation Expect;MediationExpect

Mediation JNDI-to-SQL;mediation-jndi-to-sql

Mediation NC-to-XML;MediationNC-to-XML

Mediation SNMP Adapter;mediation-snmp-adapter

Mediation SNMP-to-SQL;MediationSNMP-to-SQL

Mediation Standalone Backend;mediation-standalone-backend

Mediation Standalone Frontend;mediation-standalone-frontend

Mediation Testing Framework;mediation-testing-framework

Mediation Text-to-XML;MediationText-to-XML

Mediation Transition Engine;MediationTransition

Mediation Transition Engine. MANO UI;mediation-transition-engine-mano-ui

Mediation Transition Engine. TOMS UI;mediation-transition-engine-toms-ui

Mediation XML-to-NC;mediation-xml-to-nc

Message Bridge;message-bridge

Message Dispatcher;dispatcher

Message Dispatcher. DataFlow Interface;dispatcher-webservice

Message Dispatcher. SMSC Integration;dispatcher-sms

Message Dispatcher. WFM Mobile Client Adapter;dispatcher-wfm-mc-adapter

Message Engine;MessageEngine

Message Services;message-services

Metamodel Access Layer;metamodel-access-layer

Metro Ethernet;MetroEthernet

Metro Ethernet Network View;me-ntwk-view

Metro Ethernet Topology View;metro-ethernet-topology-view

Microwave;Microwave

Mobile Client Framework;Mobile_Client_FRW

Mobile Core Configuration;Mobile_Core_Conf

Mobile Geolocation Services;mobile-geolocation-services

Mobile Inter-domain;mobileid

Mobile RAN;mobileran

Mobile Service Catalog;MSC

Mobile Subscription Provisioning;mobile-subscription-provisioning

Mobile Subscription Provisioning. Ericsson HLR;mobile-subscription-provisioning-ericsson-hlr

Mobile Subscription Provisioning. Huawei UDB;mobile-subscription-provisioning-huawei-udb

Mobile Subscription Provisioning. Nokia HLR;mobile-subscription-provisioning-nokia-hlr

Mobile TUI;MobileTUI

Mobile WFM;mobile-wfm

Mongo Streaming;mongo-streaming

Monitoring Agent;monitoring-agent

Monitoring Agent Logging Plugin;monitoring-agent-logging-plugin

Monitoring Aggregation Rules Configuration UI;monitoring-aggregation-rules-configuration-ui

Monitoring Analytics Service;monitoring-analytics-service

Monitoring Common;monitoring-common

Monitoring Configuration Management;monitoring-configuration-management

Monitoring Dashboards;monitoring-dashboards

Monitoring Dashboards Configuration;monitoring-dashboards-configuration

Monitoring Data Aggregation Engine;monitoring-data-aggregation-engine

Monitoring Data Providers;monitoring-data-providers

Monitoring Event Enrichment;monitoring-event-enrichment

Monitoring Grafana;monitoring-grafana

Monitoring Mediation Node Application Unit;monitoring-mediation-node-au

Monitoring Mediation Proxy;monitoring-mediation-proxy

Monitoring Platform Dashboards;monitoring-platform-dashboards

Monitoring Policy Management Extras;monitoring-policy-management-extras

Monitoring Processing Engine;monitoring-processing-engine

Monitoring Processing Engine Rest API;monitoring-processing-engine-rest-api

Monitoring Processing Node Application Unit;monitoring-processing-node-au

Monitoring REST API;monitoring-rest-api

Monitoring Rest API Client;monitoring-rest-api-client

Monitoring Server Housekeeper;monitoring-server-housekeeper

Monitoring Server Init;monitoring-server-init

Monitoring Server Zabbix Server;monitoring-server-zabbix-server

Monitoring Settings Management;monitoring-settings-management

Monitoring Topology View;monitoring-topology-view

Monitoring Tracing Utilities;monitoring-tracing-utilities

Monitoring. RTF Deployment Adapters;monitoring-rtf-deployment-adapters

Multiple Hierarchy Management;multiple-hierarchy-management

NC Data Objects;NCDataObjects

NC Data Objects Plugins;ncdo-plugins

NC OSS Inventory;NC_OSS_Inventory

NC OSS/J Availability Check;NC_OSSJ_AC

NC OSS/J Availability/Feasibility Check;NC_OSSJ_ACFC

NC OSS/J Base;NC_OSSJ_Base

NC OSS/J Common;NC_OSS_Common

NC OSS/J OPF Manager;NC_OSSJ_OPFM

NC OSS/J Order Management;NC_OSSJ_OM

NC OSS/J Resource Inventory API;NC_OSSJ_RI

NC OSS/J Service Inventory;NC_OSSJ_SI

NC OSS/J Workforce Management;nc-ossj-workforce-management

NC Primary Key;nc-primary-key

NC Query Language;nc-query-language

NC TAPI;nc-tapi

NC Templates;NCtemplates

NC to NC replication;NC2NCReplication

NC to NC replication intermediate database;NC2NC_INTERM_DB

NC_OSSJ_OPF;NC_OSSJ_OPF

NEC PNMSj Integration;NEC_PNMSj_Int

NEC SRC Integration Adapter;nec-src-integration-adapter

NEC vEPC Integration Adapter;nec-vepc-integration-adapter

NEC vEPC NFVO Sample Catalog;nec-vepc-nfvo-sample-catalog

NEC vEPC VNFM Sample Catalog;nec-vepc-vnfm-sample-catalog

NFV Views Common;nfv-views-common

NFVI Monitoring Configuration.Common;nfvi-monitoring-configuration-common

NFVI Monitoring Configuration.Dashboards;nfvi-monitoring-configuration-dashboards

NFVI Resource Orchestration;nfvi-resource-orchestration

NFVI Views;nfvi-views

NFVO Common Client;nfvo-common-client

NFVO Inventory;nfvo-inventory

NFVO Orchestration;nfvo-orchestration

NSO Views;nso-views

NSO Views Data Provider;nso-views-data-provider

NSS;NSS

NaaS EvCPE SSP Configuration;naas-evcpe-ssp-configuration

NaaS Monitoring Configuration;naas-monitoring-configuration

NaaS Solution Configuration;naas-solution-configuration

NaaS TFA Configuration;naas-tfa-configuration

Naming Framework;NamingFramework

Navigation Tree;NavigationTree

Nera Integration Adapter;Nera_INT

NetCool Integration Adapter;NetCool

NetCracker Cache;NCCache

NetCracker Customer Portal;NCCP

NetCracker License Administrator;netcracker-license-administrator

NetCracker Monitoring and Diagnostic Tool;NCMT

NetCracker Testing Tool;netcracker-testing-tool

Network Elements support;NE

Network Graph Manager;ntwk-graph-manager

Network Path Finder;ntwk-path-finder

Network Planning: Default Project;NetworkPlanningDefaultProject

Network Planning: OSP Default Project;OSPPlanningDefaultProject

Network Service Orchestration;network-service-orchestration

Network Service Orchestration Client;network-service-orchestration-client

Network Service Structure View;network-service-structure-view

Network Switching Subsystem View;nss-view

Network View Manager;ntwk-view-manager

Nodes Load Balancer;nodes-load-balancer

Nokia NetAct Integration;Nokia_NetAct_Int

Notification Service;notification-service

OCS Action Manager;ocs-action-manager

OCS Configuration Manager;ocs-configuration-manager

OCS Installer;ocs-install

OCS Plugin Manager;ocs-plugin-manager

OCS Process Manager;ocs-process-manager

OM Engine;OMEngine

OM Navigation Tree;OM_Nav_Tree

OOB Triple Play Service Catalog;tripleplay

OPF Configuration UI;OPFConfigurationUI

OPF Core;opf-core

OPF Dashboards and Widgets;OPF_DnW

OPF Inventory;opf-inventory

OPF Manager;OM.OPFM

OPF Order Tree View;OPF_OTV

OPF Rules;opf-rules

OPF Sample Triple Play Catalog;OPF_STP_Catalog

OPF Utility Interaction Items;OPF_Utility_II

OPF. SAF Interaction;opf-saf-interaction

OSP;OSP

OSP Configuration;OSPConfiguration

OSP Connectivity View;osp-connectivity-view

OSP component-based TUI;OSP-TUI

OSP: FTTH;FTTH

OSS SPF Performance Pack Integration;NC_OSS_SPFPP_INT

OSS/J Fault Management Integration;OSSJ_FM_INT

OSS/J Offering Catalog;ossj-offering-catalog

OSS/J Service/Product Inventory;ossj-service-product-inventory

OTM Common;otm-common

OTM Juniper RPM Pack;otm-juniper-rpm-pack

OTM Mediation;otm-mediation

OTM Netrounds Pack;otm-netrounds-pack

OTM Operational UI;otm-operational-ui

OTM Processing;otm-processing

OTN;OTN

Object Creation Dialog;object-creation-dialog

Object Graphical View Descriptor;object-graphical-view-descriptor

Object History;object-history

Objects Copier;objects-copier

Objects Versioning;objects-versioning

Offering Catalog GUI;offering-catalog-gui

Offline Import Tool;OfflineImportTool

Online Help System;Help

Openshift Installer;openshift-installer

Openshift Smoketest;openshift-smoketest

Openstack Monitoring Configuration;openstack-monitoring-configuration

Order Decomposition GUI;order-decomposition-gui

Order Entry;OrderEntry

Order Entry Facade;order-entry-facade

Order Entry. Appointment Reservation;orderentry-appointment-reservation

Order Management;OrderManagement

Order Management Dashboards;OM_Dashboards

Order Management. Billing Operations;order-management-billing-operations

Order Monitoring;order-monitoring

Order Processing Framework;OM_InterLayer_Prod

Order Tracker;order-tracker

Order Tracker. AutoInstaller;order-tracker-autoinstaller

Order Tracker. CSV Plugin;order-tracker-csv-plugin

Order Tracker. Data Transformation Service;data-transformation-service

Order Tracker. Errors Categorizer Plugin;order-tracker-errors-categorizer-plugin

Order Tracker. Errors Categorizer Service;order-tracker-errors-categorizer-service

Order Tracker. Health Check Plugin;order-tracker-health-check-plugin

Order Tracker. KPI Data Capture Plugin;order-tracker-kpi-data-capture-plugin

Order Tracker. KPI Data Capture Service;order-tracker-kpi-data-capture-service

Order Tracker. Monitor Service;order-tracker-monitor-service

Order Tracker. Outdated Data Cleaning Plugin;order-tracker-outdated-data-cleaning-plugin

Order Tracker. Outdated Data Cleaning Service;order-tracker-outdated-data-cleaning-service

Order Tracker. Security Plugin;order-tracker-security-plugin

Order Tracker. Thresholds Plugin;order-tracker-thresholds-plugin

OrderManagement_legacy;OMLegacy

Overdue Tracking Service;overdue-tracking-service

PBT;PBT

PG Patroni Controller;pg-patroni-controller

PG Patroni Metric Collector;pg-patroni-metric-collector

PG96 Patroni;pg96-patroni

PG96 Patroni Base;pg96-patroni-base

PSE. Monitoring and Diagnostic Tools;pse-monitoring-and-diagnostic-tools

PaaS Deploy Jenkins;paas-deploy-jenkins

PaaS Predeploy Stack;paas-predeploy-stack

PaaS RPMs;paas-rpms

Page Export Model;page-export-model

Parallel Script Executor;parallel-script-executor

Parameters Visualization;parameters-visualization

Partner Desktop;partner-desktop

Partner Management;partner-management

Partner Management. RBM Integration;partner-management-rbm-integration

Password Policies;password-policies

Path Management;path-management

Payment Management;Payment_Mgmt

Payment and Receivables Management;payment-and-receivables-management

Payments Inventory Management;Payments_Inv

Performance Monitor;PerformanceMonitor

Performance diagnostics tool;PDT

Persistence Framework;persistence-framework

Persistence Framework. Object History;persistence-framework-object-history

Persistence Framework. Security;persistence-framework-security

